Hierarchy,Title,Space,Releases (roll-up),Releases,Team (roll-up),Team,Assignee,Reporter,Sprint (roll-up),Sprint,Target start date,Target end date,Due date (roll-up),Due date,Story points (roll-up),Story points,Parent,Priority,Labels,Components,Work item key,Work item status,Goal,Goal status,Idea,Progress (%),Progress completed (sp),Progress remaining (sp),Progress (%) work item count (IC),To do IC,In progress IC,Done IC,Total IC,Start date (roll-up),Start date,MoSCoW,T-shirt Size,DA Team,SNOW reference no.,Business Dept,Estimate (T-shirt size),BusinessValue,Business unit
Sub-task,Write unit tests for logistics logic,Innovation Hub,,,,IH - Vertex,Quinn Silva,Logan Gupta,,Vertex Q4S1 + Horizon Q3S2 [COMPLETED] + Atlas Q4S2,,,,45955,,21,,Medium,"Infrastructure, Platform, Reporting","Squad Horizon, Squad Vertex, BI & Analytics - Practice, Cloud Migration - CC",IH-2834,Backlog,,,,0,0,21,0,0,1,0,1,,45991,Could Have,,,,,,,Legal
Epic,DMND0005449 Marketing Attribution Data Model,Innovation Hub,,,"IH - Catalyst, IH - Vertex, IH - Nebula",IH - Pulse,Blake Brennan,Peyton Yamamoto,Pulse FY27-Q1S3 [COMPLETED],Pulse FY27-Q1S3 [COMPLETED],,,,45944,169,,,Medium,"DevOps, Performance","Squad Vertex, BI & Analytics - Practice",IH-5839,Backlog,,,,0,0,0,0,9,1,0,10,,,,Small (< 2 weeks),Cloud Platform,INC0231171,,Medium (2 - 4 weeks),,
Story,Defect - billing not displaying correct values,Innovation Hub,,,,IH - Nebula,Hayden Gupta,Kendall Gupta,,Nebula Q3S6,,,,46029,,0,DMND0005449 Marketing Attribution Data Model,Medium,Automation,"Platform Ops - CC, Incidents - BAU, BAU - Funding",IH-3090,In Progress,,,,25.31,0,0,15.76,0,1,1,2,,,,,,,,,,
Story,Integrate logistics API with silver platform,Innovation Hub,,,,IH - Vertex,Morgan Novak,Alex Nakamura,,,,,,46107,,13,DMND0005449 Marketing Attribution Data Model,Medium,Infrastructure,"Squad Catalyst, Squad Atlas",IH-5185,Backlog,,,,0,0,13,0,1,0,0,1,,46031,Could Have,,,,,,,
Story,Investigate contract data discrepancy,Innovation Hub,,,,IH - Catalyst,,Sam Johansson,,,,,,46093,,0,DMND0005449 Marketing Attribution Data Model,Medium,Compliance,"Squad Catalyst, BI & Analytics - Practice",IH-6609,Backlog,,,,0,0,0,0,2,1,0,3,,45938,Should Have,,,,,,,
Story,Create logistics data pipeline for transformation module,Innovation Hub,,,,IH - Horizon,Emerson Eriksson,Logan Kim,,Catalyst Q4S1 [COMPLETED],,,,45936,,2,DMND0005449 Marketing Attribution Data Model,Medium,"Security, Q1FY27","Demands - BAU, Squad Pulse, Squad Horizon",IH-4397,Backlog,,,,0,0,2,0,2,0,0,2,,45933,Should Have,,,,,,,
Story,UAT sign-off for contract feature,Innovation Hub,,,,IH - Nebula,Peyton Yamamoto,Peyton Johansson,,,,,,45976,,13,DMND0005449 Marketing Attribution Data Model,Medium,Automation,"Squad Vertex, BAU - Funding",IH-1269,Done,,,,100,13,0,100,0,0,1,1,,,,,Data Architecture,,,Large (4 - 6 weeks),,
Story,Set up pricing environment for bronze testing,Innovation Hub,,,,IH - Nebula,Sam Costa,,,Pulse Q3S5 [COMPLETED] + Atlas Q4S5,,,,45967,,21,DMND0005449 Marketing Attribution Data Model,High,Integration,Squad Pulse,IH-2501,Elaboration,,,,0,0,21,0,2,0,0,2,,46027,,,,,Finance & Risk,,,
Story,Document revenue data flow and dependencies,Innovation Hub,,,,IH - Vertex,Kendall Gupta,Peyton Nakamura,,,,,,45967,,13,DMND0005449 Marketing Attribution Data Model,Medium,Migration,"Incidents - BAU, Squad Catalyst",IH-6854,Backlog,,,,0,0,13,0,1,1,0,2,,46044,Should Have,,Data Engineering,,,,,
Story,Implement forecast validation rules in staging layer,Innovation Hub,,,,IH - Vertex,Emerson Eriksson,Peyton Silva,,Horizon Q4S2 [COMPLETED] + Pulse Q3S4 + Catalyst Q4S1 [COMPLETED] + Atlas Q3S4 [COMPLETED],,,,,,13,DMND0005449 Marketing Attribution Data Model,Medium,,"Squad Pulse, Squad Catalyst, Squad Horizon, Incidents - BAU",IH-2503,Elaboration,,,,0,0,13,0,0,3,0,3,,45927,,,Cloud Platform,,Customer Operations,,,
Story,Defect - Null values in campaign column,Innovation Hub,,,,IH - Nebula,Cameron Nakamura,Dakota Nakamura,,,,,,46107,,13,DMND0005449 Marketing Attribution Data Model,Medium,Infrastructure,"Cloud Migration - CC, Demands - BAU, Incidents - BAU",IH-7580,Backlog,,,,0,0,13,0,0,2,0,2,,46010,Must Have,,,,,,,
Story,Investigate campaign data discrepancy,Innovation Hub,,,,IH - Nebula,Riley Dumont,Skyler Kowalski,,Pulse Q4S5 [COMPLETED] + Vertex Q3S6 [COMPLETED],,,,45946,,5,DMND0005449 Marketing Attribution Data Model,High,,"Data Engineering - Practice, Squad Pulse, Cloud Migration - CC, Squad Catalyst",IH-4191,Done,,,,100,5,0,100,0,0,0,0,,45975,Could Have,,BI Reporting,,,Medium (2 - 4 weeks),,
Story,Migrate payment table from on-prem to cloud,Innovation Hub,,,,IH - Catalyst,Peyton Yamamoto,,,Vertex FY27-Q1S2,,,,46013,,2,DMND0005449 Marketing Attribution Data Model,Medium,Analytics,"Data Engineering - Practice, Squad Horizon, Cloud Migration - CC",IH-2217,Selected for Development,,,,0,0,2,0,0,0,0,0,,,Should Have,,NA,,,,,
Story,Validate billing data accuracy after migration,Innovation Hub,,,,IH - Nebula,Remy Chen,Sam Okafor,,Nebula FY27-Q1S4 + Pulse Q4S3,,,,,,13,DMND0005449 Marketing Attribution Data Model,Highest,Performance,"Project - Funding, Incidents - BAU, Squad Atlas, BAU - Funding",IH-4008,Done,Cloud Platform Migration,Off Track,,100,13,0,100,0,0,2,2,,45949,,,Data Science,,Customer Operations,,,
Story,Optimise order query performance,Innovation Hub,,,,IH - Nebula,Dakota Nakamura,Emerson Eriksson,,Catalyst FY27-Q1S5,,,,46067,,21,DMND0005449 Marketing Attribution Data Model,Low,"Infrastructure, Performance","Squad Pulse, Squad Nebula, Squad Catalyst",IH-1320,In Progress,,,,45.9,10,11,19.04,0,0,0,0,,46023,Won't Have,,Data Science,,,,,
Story,Create compliance data pipeline for reporting module,Innovation Hub,,,,IH - Pulse,Drew Larsson,Harper Chen,,Pulse Q4S2 + Pulse Q3S6,,,,45949,,3,DMND0005449 Marketing Attribution Data Model,Medium,,"Demands - BAU, Squad Vertex, BAU - Funding",IH-1101,Backlog,,,,0,0,3,0,1,2,0,3,,46020,Won't Have,,,,,,,
Story,Defect - Null values in contract column,Innovation Hub,,,,IH - Atlas,Dakota Nakamura,Sam Costa,,,,,,45901,,0,DMND0005449 Marketing Attribution Data Model,Medium,"Performance, Compliance, Reporting","Platform Ops - CC, Cloud Migration - CC, BI & Analytics - Practice",IH-4950,Backlog,Data Quality Framework,At Risk,Compliance,0,0,0,0,0,1,0,1,,46029,,,,,,Medium (2 - 4 weeks),,
Sub-task,Resolve merge conflict in inventory branch,Innovation Hub,,,,IH - Horizon,Harper Chen,Sam Okafor,,Pulse Q3S4 + Atlas FY27-Q1S3,,,,45924,,2,Document revenue data flow and dependencies,Medium,,"BI & Analytics - Practice, Project - Funding, Squad Catalyst, Squad Horizon",IH-8571,Backlog,,,,0,0,2,0,1,0,0,1,,,Could Have,,,,Finance & Risk,Large (4 - 6 weeks),,
Story,Create contract data pipeline for notification module,Innovation Hub,,,,IH - Vertex,Drew Petrov,Peyton Nakamura,,Catalyst Q3S5 [COMPLETED] + Horizon Q3S1 + Atlas Q4S4,,,,46060,,8,DMND0005449 Marketing Attribution Data Model,Lowest,,"Squad Horizon, Project - Funding, Squad Vertex",IH-8203,Blocked,,,Migration,0,0,8,0,0,0,0,0,,,Won't Have,,,,Legal,,,
Sub-task,Update forecast configuration in gold env,Innovation Hub,,,,IH - Catalyst,Emerson Eriksson,Drew Kowalski,,Horizon Q4S1,,,,46059,,13,Create logistics data pipeline for transformation module,Medium,DevOps,"Cloud Migration - CC, Platform Ops - CC",IH-1444,In Progress,,,,46.79,6,7,49.58,1,0,0,1,,45929,Could Have,,,,,,,
Story,Document inventory data flow and dependencies,Innovation Hub,,,,IH - Pulse,Alex Nakamura,Peyton Yamamoto,,Catalyst Q4S3 + Atlas FY27-Q1S6,,,,,,5,DMND0005449 Marketing Attribution Data Model,Medium,"Compliance, DevOps","Platform Ops - CC, Data Engineering - Practice, Squad Horizon, BAU - Funding",IH-9465,Selected for Development,,,,0,0,5,0,0,0,0,0,,45957,,,,,,,,
Sub-task,Review pull request for supplier changes,Innovation Hub,,,,IH - Vertex,Oakley Petrov,Remy Chen,,Atlas Q3S6 + Atlas FY27-Q1S3,,,,,,2,Create contract data pipeline for notification module,Medium,,"Incidents - BAU, Demands - BAU, Squad Horizon, Squad Vertex",IH-5509,Backlog,,,,0,0,2,0,0,0,0,0,,45963,,,,,,,,
Story,Investigate customer data discrepancy,Innovation Hub,,,,IH - Pulse,Sam Costa,,,Vertex Q4S1 + Vertex Q3S2 + Vertex Q4S4 + Vertex FY27-Q1S1,,,,,,21,DMND0005449 Marketing Attribution Data Model,Medium,"DevOps, Automation","BI & Analytics - Practice, Project - Funding, Squad Pulse, BAU - Funding",IH-5403,Backlog,Cloud Platform Migration,At Risk,,0,0,21,0,3,0,0,3,,46020,,,NA,,,Small (< 2 weeks),,Legal
Story,Create logistics data pipeline for bronze module,Innovation Hub,,,,IH - Horizon,Peyton Yamamoto,Peyton Johansson,,Vertex Q3S5 [COMPLETED] + Nebula FY27-Q1S3 [COMPLETED] + Pulse FY27-Q1S1 [COMPLETED] + Nebula Q3S3,,,,45974,,21,DMND0005449 Marketing Attribution Data Model,Low,Integration,"Cloud Migration - CC, Squad Nebula, BAU - Funding, Incidents - BAU",IH-8629,Done,,,,100,21,0,100,0,0,0,0,,45915,Should Have,,,,,Large (4 - 6 weeks),,
Sub-task,Grant access permissions for compliance resource,Innovation Hub,,,,IH - Atlas,Logan Gupta,Sam Costa,,Pulse Q3S5 [COMPLETED] + Horizon FY27-Q1S5 + Catalyst Q3S2,,,,46027,,13,Create compliance data pipeline for reporting module,Medium,,"Squad Vertex, Squad Nebula, Squad Atlas",IH-7006,Backlog,,,,0,0,13,0,1,0,0,1,,46010,,,,,,,,Human Resources
Sub-task,Grant access permissions for payment resource,Innovation Hub,,,,IH - Horizon,Alex Nakamura,Peyton Costa,,Horizon FY27-Q1S3 + Nebula Q3S6,,,,46107,,3,Integrate logistics API with silver platform,Medium,"Q2FY27, Security","Platform Ops - CC, BI & Analytics - Practice, Squad Catalyst",IH-5705,Done,,,,100,3,0,100,0,0,2,2,,46029,,,,CHG0081576,,,,
Sub-task,Write unit tests for order logic,Innovation Hub,,,,IH - Atlas,Quinn Silva,,,,,,,46011,,21,Defect - billing not displaying correct values,High,,"Cloud Migration - CC, Demands - BAU, Squad Atlas, BI & Analytics - Practice",IH-9343,Backlog,,,Automation,0,0,21,0,0,3,0,3,,,Must Have,,BI Reporting,,,,,
Story,Update forecast transformation logic,Innovation Hub,,,,IH - Nebula,Sam Okafor,Morgan Novak,,Nebula Q3S5 + Horizon Q4S1 + Pulse FY27-Q1S6 + Horizon Q4S5,,,,45980,,8,DMND0005449 Marketing Attribution Data Model,Medium,Security,Squad Nebula,IH-7832,Done,,,,100,8,0,100,0,0,1,1,,45981,,,,,,,,
Epic,DMND0006537 Product Recommendation Engine,Innovation Hub,,,IH - Nebula,IH - Catalyst,Oakley Petrov,Harper Okafor,Catalyst Q3S3 [COMPLETED],Catalyst Q3S3 [COMPLETED],,,,,159,,,Low,"Platform, Migration",BAU - Funding,IH-1045,Done,Data Quality Framework,Off Track,,100,0,0,100,0,0,12,12,,45999,Must Have,Large (4 - 6 weeks),,,,Medium (2 - 4 weeks),,
Sub-task,Analyse existing inventory process,Innovation Hub,,,,IH - Nebula,Jordan Gupta,Drew Larsson,,Vertex Q4S2 + Catalyst Q3S3 [COMPLETED],,,,45930,,2,Create compliance data pipeline for reporting module,Medium,"Integration, Reporting, Q1FY27","Squad Pulse, Cloud Migration - CC",IH-4229,Done,,,,100,2,0,100,0,0,1,1,,,,,,,Supply Chain,,,
Story,Migrate supplier table from on-prem to cloud,Innovation Hub,,,,IH - Pulse,Morgan Novak,,,,,,,45972,,1,DMND0006537 Product Recommendation Engine,High,,Incidents - BAU,IH-2300,Backlog,,,,0,0,1,0,2,0,0,2,,45940,Must Have,,,,,,,
Sub-task,Resolve merge conflict in contract branch,Innovation Hub,,,,IH - Catalyst,Logan Kim,Peyton Brennan,,Atlas FY27-Q1S1 + Nebula FY27-Q1S4 + Horizon FY27-Q1S4 [COMPLETED] + Vertex Q4S5,,,,,,8,Validate billing data accuracy after migration,Medium,"Reporting, Q2FY27","Incidents - BAU, BI & Analytics - Practice",IH-4965,Backlog,Automated Compliance Pipeline,Achieved,,0,0,8,0,2,0,0,2,,,,,,,,,,Human Resources
Sub-task,Resolve merge conflict in contract branch,Innovation Hub,,,,IH - Atlas,Morgan Novak,,,Atlas Q3S2,,,,,,5,Create compliance data pipeline for reporting module,Medium,"Q1FY27, Migration, Analytics",Squad Catalyst,IH-2571,Done,Data Quality Framework,Off Track,,100,5,0,100,0,0,1,1,,,,,,,,,,
Sub-task,Analyse existing order process,Innovation Hub,,,,IH - Nebula,Dakota Nakamura,,,,,,,,,21,Validate billing data accuracy after migration,Medium,"Q1FY27, Migration, Platform",Cloud Migration - CC,IH-9112,Backlog,,,,0,0,21,0,0,3,0,3,,45983,Could Have,,Cloud Platform,,,,,
Sub-task,Update documentation for compliance schema,Innovation Hub,,,,IH - Vertex,Avery Petrov,,,Nebula FY27-Q1S3 [COMPLETED],,,,46017,,8,Investigate contract data discrepancy,Low,"Performance, Security, Integration","Incidents - BAU, BAU - Funding, Squad Horizon",IH-2670,In Progress,,,,46.03,4,4,20.18,1,1,1,3,,45954,,,,,,,,
Story,Configure customer alerts for reconciliation monitoring,Innovation Hub,,,,IH - Atlas,Jordan Gupta,Drew Larsson,,,,,,,,13,DMND0005449 Marketing Attribution Data Model,Medium,"DevOps, Migration","BI & Analytics - Practice, Cloud Migration - CC",IH-2159,Backlog,,,,0,0,13,0,0,0,0,0,,45953,Could Have,,,,,,,
Story,Document pricing data flow and dependencies,Innovation Hub,,,,IH - Catalyst,Alex Nakamura,Cameron Nakamura,,,,,,46093,,8,DMND0005449 Marketing Attribution Data Model,Medium,,"Squad Atlas, Demands - BAU, Cloud Migration - CC",IH-1921,Done,,,,100,8,0,0,0,0,3,3,,,,,,,Product & Technology,,,
Sub Test Execution,Update documentation for fleet schema,Innovation Hub,,,,IH - Nebula,Remy Johansson,Alex Nakamura,,,,,,,,,Update forecast transformation logic,Medium,"Infrastructure, Q1FY27","Squad Nebula, Data Engineering - Practice, Platform Ops - CC",IH-2779,Backlog,,,,0,0,0,0,0,0,0,0,,,Could Have,,,,,,,
Story,Validate contract data accuracy after migration,Innovation Hub,,,,IH - Horizon,Avery Petrov,Sam Johansson,,Catalyst FY27-Q1S3 + Catalyst Q4S4,,,,46019,,5,DMND0005449 Marketing Attribution Data Model,Medium,Migration,"Squad Nebula, Squad Vertex, BI & Analytics - Practice, Squad Atlas",IH-7001,In Progress,,,,56.45,3,2,10.53,0,0,1,1,,45970,,,,,Marketing & Digital,,,
Sub-task,Set up logistics scheduling in orchestrator,Innovation Hub,,,,IH - Nebula,Remy Johansson,Peyton Yamamoto,,Pulse FY27-Q1S1 [COMPLETED] + Atlas Q3S1 + Horizon FY27-Q1S6 + Horizon Q3S5,,,,,,5,Create contract data pipeline for notification module,Medium,Automation,"BI & Analytics - Practice, Cloud Migration - CC, Squad Catalyst",IH-8756,In Progress,,,,78.99,4,1,37.86,0,0,0,0,,,,,Cloud Platform,DMND00034252,,,,
