Hierarchy,Title,Space,Releases (roll-up),Releases,Team (roll-up),Team,Assignee,Reporter,Sprint (roll-up),Sprint,Target start date,Target end date,Due date (roll-up),Due date,Story points (roll-up),Story points,Parent,Priority,Labels,Components,Work item key,Work item status,Goal,Goal status,Idea,Progress (%),Progress completed (sp),Progress remaining (sp),Progress (%) work item count (IC),To do IC,In progress IC,Done IC,Total IC,Start date (roll-up),Start date,MoSCoW,T-shirt Size,DA Team,SNOW reference no.,Business Dept,Estimate (T-shirt size),BusinessValue,Business unit
Epic,Kizuna | SAP Connectivity & Set Up,Data Office,,,DO - DataCruiser,DO - DataCruiser,Prerna Sharma,Matthew Falia,"DataCruiser FY26-Q4-S4, DataCruiser FY26-Q4-S5, Gemba FY26-Q4-S4",,,,,31-Mar-26,17,,Kizuna - SAP (HANA) Upgrade,Highest,"DataCruiser, Hana","Squad DataCruiser, Project - Funding, SAP4HANA - CC, Data Architecture - Practice, DO Q4 DataCruiser Planning",DA-3929,In Progress,,,,100,35,0,100,0,0,11,11,,,Must Have,,Data Architecture,,,,,
Epic,Kizuna | SAP | Data Onboarding SAP to EDMP,Data Office,,,"DO - DataCruiser, DO - Vanguard",DO - DataCruiser,Prerna Sharma,Matthew Falia,"DataCruiser FY26-Q4-PI, DataCruiser FY26-Q4-S4, DataCruiser FY26-Q4-S5, Vanguard FY26-Q4-S4, Vanguard FY26-Q4-S5",,,,,31-Mar-26,30,,Kizuna - SAP (HANA) Upgrade,High,,"Squad DataCruiser, Project - Funding, SAP4HANA - CC, DO Q4 DataCruiser Planning, DO Q4 Data Office Planning",DA-5615,In Progress,,,,80,24,6,73.33,3,1,11,15,,12-Feb-26,Must Have,,,,,,,
Epic,Kizuna | SAP | Data Mapping of the tables from Conformed to Semantic,Data Office,,,DO - DataCruiser,DO - DataCruiser,Prerna Sharma,Philip Troop,"DataCruiser FY26-Q4-PI, DataCruiser FY26-Q4-S3, DataCruiser FY26-Q4-S4, DataCruiser FY26-Q4-S5, DataCruiser FY27-Q1-Sprint 2, DataCruiser FY27-Q1-Sprint 3",,,,,15-Apr-26,12,,Kizuna - SAP (HANA) Upgrade,High,,"Squad DataCruiser, Project - Funding, SAP4HANA - CC, DO Q4 DataCruiser Planning, DO FY27 Q1 DataCruiser Planning",DA-6313,In Progress,,,,50,6,6,18.18,7,2,2,11,,4-Mar-26,Must Have,,,,,,,
Epic,Kizuna | SAP | Data Transformation from Conformed to Semantic,Data Office,,,DO - DataCruiser,DO - DataCruiser,Prerna Sharma,Philip Troop,"DataCruiser FY26-Q4-PI, DataCruiser FY26-Q4-S2, DataCruiser FY26-Q4-S3, DataCruiser FY26-Q4-S5, DataCruiser FY27-Q1-Sprint 1, DataCruiser FY27-Q1-Sprint 3, DataCruiser FY27-Q1-Sprint 4, DataCruiser FY27-Q1-Sprint 5",,,,,30-May-26,30,,Kizuna - SAP (HANA) Upgrade,High,,"Squad DataCruiser, Project - Funding, SAP4HANA - CC, DO FY27 Q1 DataCruiser Planning",DA-6316,In Progress,,,,50,15,15,23.08,19,1,6,26,,12-Mar-26,Must Have,,,,,,,
Epic,Kizuna| SAP | Reporting Repoint & Validation,Data Office,,,DO - DataCruiser,DO - DataCruiser,Prerna Sharma,Philip Troop,"DataCruiser FY26-Q4-PI, DataCruiser FY26-Q4-S3, DataCruiser FY27-Q1-Sprint 1, DataCruiser FY27-Q1-Sprint 2, DataCruiser FY27-Q1-Sprint 5, DataCruiser FY27-Q1-Sprint 6",,,,,30-May-26,4,,Kizuna - SAP (HANA) Upgrade,High,,"Squad DataCruiser, Project - Funding, SAP4HANA - CC, DO FY27 Q1 DataCruiser Planning",DA-6434,Backlog,,,,85.71,6,1,17.24,23,1,5,29,,1-Apr-26,Must Have,,,,,,,
Epic,Kizuna | SAP | EDMP to SAP Feed - Deferred Income Flow,Data Office,,,"DO - DataCruiser, DO - Platform Practice, DO - Vanguard",DO - DataCruiser,Prerna Sharma,Philip Troop,"DataCruiser FY26-Q4-S2, DataCruiser FY26-Q4-S3, DataCruiser FY26-Q4-S4, DataCruiser FY26-Q4-S5, Vanguard FY26-Q4-S3",,,,,15-Apr-26,8,,Kizuna - SAP (HANA) Upgrade,High,,"Squad DataCruiser, Project - Funding, SAP4HANA - CC, DO Q4 DataCruiser Planning, DO Q4 Data Office Planning, DO Q4 Architecture Practice Planning",DA-6317,In Progress,,,,100,8,0,77.78,1,1,7,9,,12-Feb-26,Must Have,,,,,,,
Epic,Kizuna | SAP | Archiving Assessment,Data Office,,,,DO - DataCruiser,Philip Troop,Matthew Falia,,,,,,,,,Kizuna - SAP (HANA) Upgrade,Medium,"DataCruiser, Hana","Squad DataCruiser, Project - Funding, SAP4HANA - CC, Data Architecture - Practice",DA-3928,In Progress,,,,100,4,0,100,0,0,2,2,,,Must Have,,Data Architecture,,,,,
Epic,FY26 Hoshin | Asset and Liability Management System | Empyrean Implementation,Data Office,,,"DO - DataCruiser, DO - Vanguard",DO - DataCruiser,Jack Cheng,Anette Hon,"DataCruiser FY26-Q4-S3, DataCruiser FY26-Q4-S4, DataCruiser FY26-Q4-S5, DataCruiser FY27-Q1-Sprint 1, DataCruiser FY27-Q1-Sprint 2, DataCruiser FY27-Q1-Sprint 3, DataCruiser FY27-Q1-Sprint 4, DataCruiser FY27-Q1-Sprint 5, DataCruiser FY27-Q1-Sprint 6, Vanguard FY26-Q4-S5",,,,,31-Mar-26,87,,DataCruiser Demands (Data Office),Highest,DataCruiser,"Squad DataCruiser, Project - Funding, ALM - CC, DO Q4 DataCruiser Planning, Hoshin, DO FY27 Q1 DataCruiser Planning",DA-1604,In Progress,,,,40.17,47,70,31.37,32,3,16,51,,,Must Have,X-Large (> 6 weeks),,DMND0003736,Corporate,,,
Epic,DMND0003806 | Head Office Occupancy Dashboard,Data Office,,,DO - DataCruiser,DO - DataCruiser,Prerna Sharma,Sheldon Johnston,"DataCruiser FY26-Q4-S2, DataCruiser FY26-Q4-S3, DataCruiser FY26-Q4-S4, DataCruiser FY26-Q4-S5, DataCruiser Q3S5, DataCruiser Q3S6",,,,,31-Mar-26,37,1,DataCruiser Demands (Data Office),Medium,"DataCruiser, Engineering","Squad DataCruiser, BAU - Funding, Demands - BAU, DO Q4 DataCruiser Planning",DA-1055,In Progress,,,,67.24,39,19,60,7,5,18,30,,,Must Have,Small (< 2 weeks),NA,DMND0003806,Corporate,,,
Epic,Omni Conditional Pre-Approval,Data Office,,,"DO - Gemba, DO - DataCruiser, DO - Vanguard",DO - Gemba,Anju Unnithan,Brian Hurley,"DataCruiser FY26-Q4-S4, DataCruiser FY26-Q4-S5, Gemba FY26-Q4-IP, Gemba FY26-Q4-S1, Gemba FY26-Q4-S2, Gemba FY26-Q4-S3, Gemba FY26-Q4-S4, Gemba FY26-Q4-S5, Gemba FY27-Q1-S1, Gemba FY27-Q1-S2, Gemba Q3S6, Vanguard FY26-Q4-S3",,,,,23-Sep-25,120,,OMNI Pre Approval,Medium,Gemba,"Squad Gemba, Project - Funding, OMNI - CC, DO Q4 Gemba Planning, DO FY27 Q1 Gemba Planning",DA-1520,In Progress,,,,62.07,108,66,64.22,21,18,70,109,,13-Aug-25,Must Have,,Platform,,,,,
