"Summary","Issue key","Issue Type","Status","Team","Story Points","PI","MoSCoW Priority","Business Value","WSJF","Projected Revenue","Actual Revenue","OKR Target","OKR Actual","Target start","Target end","Parent","Labels"
"Digital Loan Origination","PORT-1","Theme","In Progress","","","","","","","","","","","","","","portfolio-theme"
"Customer Self-Service & Servicing","PORT-2","Theme","In Progress","","","","","","","","","","","","","","portfolio-theme"
"Data, Risk & Analytics Platform","PORT-3","Theme","In Progress","","","","","","","","","","","","","","portfolio-theme"
"Regulatory Compliance & Open Banking","PORT-4","Theme","In Progress","","","","","","","","","","","","","","portfolio-theme"
"Online Personal Loan Origination","PORT-10","Initiative","In Progress","","","","","","","","","","","","","Digital Loan Origination","initiative"
"Broker Portal Modernisation","PORT-11","Initiative","In Progress","","","","","","","","","","","","","Digital Loan Origination","initiative"
"Mobile Servicing App","PORT-12","SAFe Epic","In Progress","","","","","","","","","","","","","Customer Self-Service & Servicing","initiative"
"Customer Identity & Verification","PORT-13","SAFe Epic","In Progress","","","","","","","","","","","","","Customer Self-Service & Servicing","initiative"
"Credit Risk Decisioning Platform","PORT-14","Initiative","In Progress","","","","","","","","","","","","","Data, Risk & Analytics Platform","initiative"
"Enterprise Data Lakehouse","PORT-15","SAFe Epic","In Progress","","","","","","","","","","","","","Data, Risk & Analytics Platform","initiative"
"Open Banking & CDR Compliance","PORT-16","Initiative","In Progress","","","","","","","","","","","","","Regulatory Compliance & Open Banking","initiative"
"Financial Crime & AML Uplift","PORT-17","SAFe Epic","In Progress","","","","","","","","","","","","","Regulatory Compliance & Open Banking","initiative"
"Digital application form with save-and-resume","LEND-101","Epic","Done","Aurora",55,"PI 26.1","Must Have",9,18.4,420000,455000,"Lift completed online applications to 65% of all applications","68% achieved at PI close","05/Jan/26","27/Mar/26","Online Personal Loan Origination","origination, digital"
"Real-time serviceability and affordability engine","LEND-102","Epic","Done","Aurora",68,"PI 26.2","Must Have",9,15.2,380000,362000,"Approve 70% of eligible applications in under 5 minutes","64% — carry-over tuning in PI 26.3","06/Apr/26","26/Jun/26","Online Personal Loan Origination","origination, decisioning"
"Automated income and expense verification (bank-feed)","LEND-103","Epic","In Progress","Aurora",62,"PI 26.3","Must Have",8,13.1,310000,"","Cut manual verification effort by 50%","","06/Jul/26","25/Sep/26","Online Personal Loan Origination","origination, openbanking"
"Digital contract signing and instant funding","LEND-104","Epic","In Progress","Aurora",47,"PI 26.3","Must Have",9,16.8,520000,"","Reduce approval-to-funding time from 3 days to 4 hours","","06/Jul/26","25/Sep/26","Online Personal Loan Origination","origination, payments"
"Pricing personalisation for risk-based rates","LEND-105","Feature","To Do","Aurora",42,"PI 26.4","Should Have",7,9.6,260000,"","Improve conversion on quoted rates by 12%","","05/Oct/26","18/Dec/26","Online Personal Loan Origination","origination, pricing"
"Co-borrower and guarantor application flows","LEND-106","Feature","To Do","Aurora",34,"PI 26.4","Should Have",6,7.2,140000,"","","","05/Oct/26","18/Dec/26","Online Personal Loan Origination","origination"
"Application abandonment recovery journeys","LEND-107","Feature","To Do","Aurora",21,"","Could Have",5,6.8,95000,"","Recover 8% of abandoned applications","","","","Online Personal Loan Origination","origination, crm"
"Vehicle finance origination journey","LEND-108","Epic","In Progress","Northwind [EXT]",58,"PI 26.3","Must Have",8,11.4,340000,"","Launch vehicle finance channel by end Q3 FY27","","06/Jul/26","25/Sep/26","Online Personal Loan Origination","origination, auto"
"Dealer point-of-sale finance API","LEND-109","Epic","To Do","Northwind [EXT]",52,"PI 26.4","Should Have",8,10.9,410000,"","Sign 40 dealer groups in first two quarters","","05/Oct/26","18/Dec/26","Online Personal Loan Origination","origination, auto, api"
"Broker portal re-platform to component library","LEND-110","Epic","Done","Marlin",60,"PI 26.2","Should Have",7,8.9,180000,171000,"Halve broker portal page-load times","Achieved — median load 1.4s","06/Apr/26","26/Jun/26","Broker Portal Modernisation","broker, platform"
"Broker application status tracking and alerts","LEND-111","Feature","In Progress","Marlin",30,"PI 26.3","Should Have",6,9.8,120000,"","Reduce broker status-chasing calls by 30%","","06/Jul/26","25/Sep/26","Broker Portal Modernisation","broker"
"Broker commission statements self-service","LEND-112","Feature","To Do","Marlin",25,"PI 26.4","Could Have",5,6.1,60000,"","","","","","Broker Portal Modernisation","broker"
"Broker accreditation workflow automation","LEND-113","Feature","To Do","Marlin",20,"","Could Have",4,4.9,"","","","","","","Broker Portal Modernisation","broker, workflow"
"Mobile app MVP — balances, statements, payments","LEND-120","Epic","Done","Kestrel",72,"PI 26.1","Must Have",9,14.6,290000,301000,"Reach 25% of active customers on the app in 6 months","31% at PI close","05/Jan/26","27/Mar/26","Mobile Servicing App","mobile, servicing"
"In-app hardship assistance and payment pauses","LEND-121","Epic","Done","Kestrel",44,"PI 26.2","Must Have",8,12.3,"","","Handle 60% of hardship requests digitally end-to-end","57% at PI close","06/Apr/26","26/Jun/26","Mobile Servicing App","mobile, hardship"
"Push notifications and payment reminders","LEND-122","Feature","Done","Kestrel",26,"PI 26.2","Should Have",6,10.1,85000,79000,"Cut missed-payment rate by 15%","12% reduction so far","06/Apr/26","26/Jun/26","Mobile Servicing App","mobile"
